德芙,好时,费列罗,Meiji,歌帝梵,牛奶巧克力,夹心巧克力,黑巧克力,榛果,价格,销量,销量等级
0,0,0,0,0,0,1,0,0,56.9,50000.0,5级销量
1,0,0,0,0,1,0,0,0,30.9,50000.0,5级销量
1,0,0,0,0,0,0,1,0,30.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,139.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,30.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,149.0,50000.0,5级销量
0,0,0,0,0,1,0,0,0,25.9,50000.0,5级销量
0,1,0,0,0,0,0,0,0,53.5,50000.0,5级销量
1,0,0,0,0,0,0,0,0,30.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,69.0,50000.0,5级销量
1,0,0,0,0,0,0,0,0,30.9,50000.0,5级销量
1,0,0,0,0,0,0,1,0,41.9,50000.0,5级销量
1,0,0,0,0,1,0,0,0,53.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,30.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,159.9,50000.0,5级销量
0,0,0,0,0,1,0,0,0,29.5,50000.0,5级销量
0,0,1,0,0,0,0,0,1,48.53,50000.0,5级销量
0,0,0,0,0,1,0,0,0,22.9,50000.0,5级销量
0,0,0,0,0,0,1,0,0,30.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,45.0,50000.0,5级销量
0,0,0,0,0,0,1,0,0,38.0,2000.0,1级销量
0,0,0,0,0,0,0,0,0,129.0,50000.0,5级销量
1,0,0,0,0,0,0,1,0,53.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,69.0,50000.0,5级销量
0,0,0,0,0,0,0,0,0,69.0,10000.0,2级销量
0,0,0,0,0,0,0,0,0,29.5,50000.0,5级销量
0,0,0,0,0,0,0,1,0,109.0,50000.0,5级销量
0,1,0,0,0,0,0,1,0,49.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,109.0,50000.0,5级销量
1,0,0,0,0,1,0,0,0,49.9,10000.0,2级销量
0,0,0,0,0,0,0,0,0,110.8,50000.0,5级销量
0,0,1,0,0,0,0,0,1,88.0,5000.0,2级销量
0,0,0,0,0,0,0,0,0,178.0,5000.0,2级销量
0,0,0,0,0,0,0,1,0,149.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,69.0,50000.0,5级销量
0,0,0,0,0,0,1,0,1,198.0,20000.0,3级销量
0,0,0,0,0,0,0,0,0,118.0,20000.0,3级销量
0,0,0,0,0,0,1,0,0,33.6,2000.0,1级销量
0,0,0,0,1,0,0,1,0,81.0,20000.0,3级销量
0,0,0,0,0,1,0,0,0,120.0,50000.0,5级销量
1,0,0,0,0,1,0,0,0,48.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,99.9,50000.0,5级销量
0,0,0,0,0,0,1,0,0,39.5,50000.0,5级销量
1,0,0,0,0,1,0,0,0,17.5,50000.0,5级销量
0,0,0,0,0,0,0,0,1,18.8,50000.0,5级销量
0,0,0,0,0,0,1,0,0,69.8,50000.0,5级销量
0,0,0,0,0,0,0,0,0,139.9,50000.0,5级销量
0,0,0,0,0,1,0,0,0,69.0,50000.0,5级销量
1,0,0,0,0,0,0,1,0,31.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,109.0,200.0,1级销量
0,0,0,0,0,1,0,0,0,29.5,50000.0,5级销量
0,0,0,0,0,0,0,1,0,109.0,5000.0,2级销量
0,0,1,0,0,0,0,0,1,132.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,118.0,10000.0,2级销量
0,0,0,0,0,0,0,1,0,29.0,50000.0,5级销量
0,0,0,0,0,0,0,0,0,49.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,159.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,68.0,50000.0,5级销量
0,0,1,0,0,0,0,0,0,143.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,38.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,33.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,13.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,98.0,20000.0,3级销量
0,0,0,0,0,0,0,1,0,89.0,20000.0,3级销量
0,0,0,0,0,1,0,1,0,113.0,500.0,1级销量
0,0,0,0,1,0,0,0,0,119.0,50000.0,5级销量
0,0,0,0,0,0,1,0,0,38.0,2000.0,1级销量
0,0,0,0,0,0,0,1,0,22.9,50000.0,5级销量
0,0,1,0,0,0,0,0,0,149.9,50000.0,5级销量
0,0,1,0,0,0,0,0,0,129.8,50000.0,5级销量
1,0,0,0,0,1,0,0,0,30.9,50000.0,5级销量
1,0,0,0,0,0,0,1,0,17.5,50000.0,5级销量
0,0,0,0,0,0,1,0,0,32.0,50000.0,5级销量
0,0,1,0,0,0,0,0,0,32.0,50000.0,5级销量
0,0,1,0,0,0,0,0,0,65.0,20000.0,3级销量
0,0,0,0,0,0,0,1,0,64.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,53.9,50000.0,5级销量
0,0,0,1,0,0,1,0,0,45.0,20000.0,3级销量
0,0,0,0,0,0,0,0,0,149.0,50000.0,5级销量
0,0,1,0,0,0,0,0,1,9.91,50000.0,5级销量
0,1,0,0,0,0,0,1,0,49.9,50000.0,5级销量
0,0,0,0,0,1,0,0,0,29.5,50000.0,5级销量
0,0,0,0,0,1,0,0,0,29.5,50000.0,5级销量
