图片,价格,价格1,名称_链接,名称,skcolor_ljg,promowords,pcommit,店铺_链接,店铺,关键词,pobtn_链接,pobtn
https://img11.360buyimg.com/n7/jfs/t1/138109/5/31981/151332/63799aa8E9ffa1ac5/a67ec5c15bbd26f7.jpg,189.00,189.00,https://item.jd.com/10024097990796.html,比利时进口巧克力礼盒装送男女友情人节生日礼物,巧克力,,1万+条评价条评价,https://mall.jd.com/index-581814.html?from=pc,朵娜贝拉食品官方旗舰店,"
						",https://cart.jd.com/gate.action?pid=10024097990796&pcount=1&ptype=1,加入购物车
https://img14.360buyimg.com/n7/jfs/t1/83114/8/23957/103656/638842aaE75c7ce6a/28ab4fa78bff5275.jpg,32.90,32.90,https://item.jd.com/1178879.html,"
德芙（Dove）肖战同款丝滑牛奶巧克力分享碗装252g圣诞礼物 新年限定 年货",巧克力,德芙（Dove）肖战同款丝滑牛奶巧克力分享碗装252g圣诞礼物 新年限定 年货,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
https://img14.360buyimg.com/n7/jfs/t1/69359/11/23383/157951/63985301Edb95c28d/bd67ec8e896c92c0.jpg,162.90,162.90,https://item.jd.com/730614.html,"
费列罗（FERRERO）榛果威化糖果巧克力制品喜糖 圣诞送礼48粒礼盒装600g 金榜推荐",巧克力,"【费列罗健达巧克力，圣诞特惠】【黑巧新品火爆上市，三种口味，下单送礼品袋】！加入会员领券且可抽超值大奖,数量有限，速抢，更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								满160-30
								赠
						",,
,129.00,129.00,https://item.jd.com/100045388355.html,"
诺梵金松露巧克力圣诞礼物赠送圣诞帽送女友500g",巧克力,诺梵金松露巧克力圣诞礼物赠送圣诞帽送女友500g,5000+条评价,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"
								自营
								新品
								秒杀
								每满129-20
						",,
,129.00,129.00,https://item.jd.com/10065443343707.html,诺梵【全国七仓发货】金松露巧克力圣诞节礼盒装纯黑可可脂 圣诞金松露,巧克力,诺梵【全国七仓发货】金松露巧克力圣诞节礼盒装纯黑可可脂 圣诞金松露,5000+条评价,https://mall.jd.com/index-22435.html?from=pc,诺梵官方旗舰店,"
								京东物流
								券99-30
								满258-30
						",https://cart.jd.com/gate.action?pid=10065443343707&pcount=1&ptype=1,加入购物车
,30.00,30.00,https://item.jd.com/1178877.html,"
德芙（Dove）肖战同款什锦碗装三种口味混合249g 圣诞礼物 新年限定 年货",,德芙（Dove）肖战同款什锦碗装三种口味混合249g 圣诞礼物 新年限定 年货,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
https://img11.360buyimg.com/n7/jfs/t1/84121/32/22994/173221/63992f46E5d9cbbb1/2ef55d0738b75a2e.jpg,99.00,99.00,https://item.jd.com/10029451725411.html,【到手59】德芙巧克力礼盒甜蜜生日礼物送老婆女朋友女生男朋友,巧克力,,20万+条评价条评价,https://mall.jd.com/index-657104.html?from=pc,多唯呀巧克力旗舰店,"
						",https://cart.jd.com/gate.action?pid=10029451725411&pcount=1&ptype=1,加入购物车
https://img14.360buyimg.com/n7/jfs/t1/83431/35/23961/174364/638ffbb8Eb0454fa4/1d8d9f0e5114d689.jpg,22.90,22.90,https://item.jd.com/539384.html,"
脆香米牛奶巧克力碗装216g 圣诞礼物新年限定年货（新旧包装随机发放)",巧克力,脆香米牛奶巧克力碗装216g 圣诞礼物新年限定年货（新旧包装随机发放),100万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
https://img14.360buyimg.com/n7/jfs/t1/136366/12/31197/119384/636e795fE33b55923/0cbfc0826ce4cbcc.jpg,53.00,53.00,https://item.jd.com/4847644.html,"
好时之吻 Kisses 眩彩 多口味糖果巧克力 零食 圣诞礼物 喜糖  500g",巧克力,好时之吻 Kisses 眩彩 多口味糖果巧克力 零食 圣诞礼物 喜糖  500g,50万+条评价,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"
								自营
								品质溯源
						",,
https://img10.360buyimg.com/n7/jfs/t1/195208/17/31232/106408/638842aaE519849b1/5dca5be6f6437f44.jpg,30.00,30.00,https://item.jd.com/1178880.html,"
德芙（Dove）肖战同款榛仁葡萄干巧克力分享碗装243g圣诞（新旧包装随机发放）",巧克力,德芙（Dove）肖战同款榛仁葡萄干巧克力分享碗装243g圣诞（新旧包装随机发放）,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
https://img13.360buyimg.com/n7/jfs/t1/110141/7/30032/191542/6396f9d7E9bd60f54/8d79cccd6ff82e09.jpg,228.00,228.00,https://item.jd.com/100015003618.html,"
歌帝梵(GODIVA) 臻粹进口巧克力制品礼盒精选20颗装200g 圣诞节礼物",巧克力,【限时折上折】领券下单更优惠！！！ 【下单有礼】尊享宅家美食，赠专属礼袋! 【下单赠豆】会员专享下单即赠500京豆!速戳》,2万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（GODIVA）臻享京东自营旗舰店,"
								自营
								品质溯源
								1件9折
								赠
						",,
https://img12.360buyimg.com/n7/jfs/t1/143117/23/31465/272571/6374956cEba8aa427/ebf2dcb07d26dddd.jpg,59.90,59.90,https://item.jd.com/100045388357.html,诺梵松露巧克力圣诞礼物生日礼物送女友婚庆喜糖伴手礼500g赠送圣诞帽,巧克力,诺梵松露巧克力圣诞礼物生日礼物送女友婚庆喜糖伴手礼500g赠送圣诞帽,1万+条评价,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"
								自营
								每满49-10
						",,
https://img13.360buyimg.com/n7/jfs/t1/93109/28/27793/138584/63929267E449fd040/972a914b9510e4f8.jpg,18.90,18.90,https://item.jd.com/4044853.html,诺梵纯黑可可脂巧克力65%可可圣诞礼物送女友微苦高纯黑巧克力130g,巧克力,,50万+条评价,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=4044853&pcount=1&ptype=1,加入购物车
https://img12.360buyimg.com/n7/jfs/t1/139531/19/32095/85771/638842bbEf8b1de64/580fefd2ae27250f.jpg,26.90,26.90,https://item.jd.com/100020031167.html,"
德芙（Dove）肖战同款牛奶巧克力碗装234g圣诞礼物 新年限定年货礼盒休闲零食",巧克力,德芙（Dove）肖战同款牛奶巧克力碗装234g圣诞礼物 新年限定年货礼盒休闲零食,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
https://img11.360buyimg.com/n7/jfs/t1/16503/24/19900/122774/63929193Ee1992046/86e5b3a912908f96.jpg,19.90,19.90,https://item.jd.com/4044851.html,"
诺梵纯黑可可脂巧克力100%特苦无添加蔗糖圣诞礼物送女友高纯黑巧130g",巧克力,诺梵纯黑可可脂巧克力100%特苦无添加蔗糖圣诞礼物送女友高纯黑巧130g,50万+条评价,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"
								自营
						",,
,146.00,146.00,https://item.jd.com/67499370480.html,"
费列罗榛果威化糖果巧克力生日圣诞节日礼物休闲零食员工福利48粒礼盒装 金色48粒礼盒装[送礼袋]",巧克力,【生日礼物】【节日礼物】【京东10仓，急速到家】【品质保证】【企业采购找客服】费列罗德芙组合装（爱的礼物）,5万+条评价,https://mall.jd.com/index-10205730.html?from=pc,业昌食品专营店,"
								京东物流
						",,
