价格,价格1,名称_链接,名称,skcolor_ljg,promowords,pcommit,店铺_链接,店铺,关键词
56.9,56.9,https://item.jd.com/2020621.html,士力架花生夹心巧克力1000g量贩装 王嘉尔代言 礼物礼品横扫饥饿(新旧包装随机发放）,巧克力,,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178879.html,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178886.html,德芙Dove香浓黑巧克力分享碗装 252g 代言人同款办可可脂公室零食婚庆喜糖(新旧包装随机发放),巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
139.9,139.9,https://item.jd.com/730614.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满49-20"
30.9,30.9,https://item.jd.com/1178877.html,德芙什锦碗装三种口味混合 249g 代言人同款 休闲零食礼物礼品（新旧包装随机发放）,,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								赠"
149,149,https://item.jd.com/1950414.html,瑞士莲（Lindt）瑞士进口 软心精选巧克力分享装600g 婚庆喜糖零食伴手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，,,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源
								满139-10"
25.9,25.9,https://item.jd.com/539384.html,脆香米 牛奶巧克力碗装216g 糖果休闲食品分享零食礼物礼品（新旧包装随机发放),巧克力,,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
53.5,53.5,https://item.jd.com/4847644.html,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,巧克力,好时之吻 Kisses 眩彩 多口味糖果巧克力 糖果零食  婚庆喜糖 散装  500g,,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"自营
								放心购
								品质溯源"
399,399,https://item.jd.com/100032537582.html,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"自营
								2件9折"
30.9,30.9,https://item.jd.com/1178880.html,德芙Dove榛仁葡萄干巧克力分享碗装 243g 代言人同款 零食糖果婚庆喜糖（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
