date,ibm,sp,ko
1961-01-31,0.072513,0.063156,0.009331
1961-02-28,0.0625,0.02687,0.103236
1961-03-30,0.02963,0.025536,0.012291
1961-04-28,0.027338,0.003843,-0.05
1961-05-31,0.027521,0.019139,0.087719
1961-06-30,-0.026612,-0.028846,-0.058065
1961-07-31,0.024185,0.032797,0.008621
1961-08-31,0.067967,0.019623,0.022792
1961-09-29,0.035611,-0.019686,0.03454
1961-10-31,0.092007,0.028323,0.00542
1961-11-30,-0.011745,0.039347,0.125067
1961-12-29,-0.001724,0.003225,-0.00241
1962-01-31,-0.063903,-0.037876,-0.099034
1962-02-28,-0.007841,0.01627,-0.016086
1962-03-30,-0.007914,-0.00586,0.041962
1962-04-30,-0.147818,-0.06197,-0.026316
1962-05-31,-0.133811,-0.08599,-0.091892
1962-06-29,-0.135669,-0.081838,-0.082143
1962-07-31,0.140752,0.063562,0.120915
1962-08-31,0.02584,0.015284,-0.007289
1962-09-28,-0.107886,-0.048207,-0.070778
1962-10-31,-0.021216,0.004443,0.012739
1962-11-30,0.153902,0.101557,0.092453
1962-12-31,-0.02133,0.013492,-0.011594
1963-01-31,0.086538,0.049128,0.058651
1963-02-28,-0.054277,-0.028852,-0.00277
1963-03-29,0.053158,0.035464,0.046389
1963-04-30,0.101544,0.04852,-0.010695
1963-05-31,0.031267,0.014327,0.005405
1963-06-28,-0.085909,-0.020198,0.015323
1963-07-31,-0.004011,-0.00346,0.018667
1963-08-30,0.025892,0.048749,0.070681
1963-09-30,0.016301,-0.011034,0.004156
1963-10-31,0.09292,0.032218,0.014706
1963-11-29,-0.015182,-0.010539,0.019807
1963-12-31,0.044822,0.024444,0.102503
1964-01-31,0.069034,0.026926,0.021622
1964-02-28,0.052122,0.009865,0.003175
1964-03-31,0.044376,0.015167,0.067511
1964-04-30,-0.040387,0.006077,0.005964
1964-05-28,0.05491,0.011452,0.009881
1964-06-30,-0.00625,0.016424,0.034247
1964-07-31,-0.031447,0.01824,0.050428
1964-08-31,-0.043831,-0.01623,-0.009058
1964-09-30,-0.009081,0.028718,-0.007313
1964-10-30,-0.037801,0.008078,-0.033333
1964-11-30,-0.014881,-0.005185,0.032567
1964-12-31,-0.007273,0.003909,0.050373
1965-01-29,0.095238,0.033156,0.094139
1965-02-26,0.019509,-0.001485,0.022727
1965-03-31,-0.003291,-0.014526,-0.062857
1965-04-30,0.067694,0.034239,0.074957
1965-05-28,-0.01134,-0.007743,-0.001585
1965-06-30,-0.041841,-0.048632,-0.018413
1965-07-30,0.045852,0.013433,0.001626
1965-08-31,0.044885,0.022522,0.019481
1965-09-30,0.027054,0.032006,0.005414
1965-10-29,0.04,0.027345,-0.015924
1965-11-30,-0.012195,-0.008764,0.057282
1965-12-31,-0.049524,0.008951,0.058462
1966-01-31,-0.006012,0.004869,-0.002907
1966-02-28,0.041331,-0.017873,-0.072886
1966-03-31,0.001942,-0.021815,0.062579
1966-04-29,0.080426,0.020509,-0.071429
1966-05-31,-0.021031,-0.05414,0.016026
1966-06-30,-0.02968,-0.016138,-0.049211
