会员卡号,此次消费的会员积分,积分等级,年龄,年龄段,入会时长,消费次数,消费频率,消费金额,消费水平,平均每单金额,价值属性,最后一次消费距今时长,柜组名称
000186fa,5267.0,积分低等级,41,中年,977,4,低频消费,11880.7,中等消费水平,2970.175,单均价值一般,101,雅诗兰黛ESTEE LAUDER
000234ad,11850.0,积分中等级,43,中年,1097,7,中频消费,12850.0,中等消费水平,1835.7142857142858,单均价值一般,63,雅诗兰黛柜
000339f1,6141.0,积分低等级,30,青年,1010,8,中频消费,6340.8,低消费水平,792.6,单均价值一般,18,Wacoal
0004bad2,8964.0,积分低等级,34,青年,69,1,低频消费,8964.0,低消费水平,8964.0,单均价值高,69,朗姿柜
000cd735,66423.0,积分中等级,55,中年,1056,40,高频消费,123759.5,高消费水平,3093.9875,单均价值一般,39,OHUI/后
000e6203,2277.0,积分低等级,41,中年,1091,3,低频消费,2277.0,低消费水平,759.0,单均价值一般,482,PAWINPAW 柜
001375c7,250.0,积分低等级,32,青年,1076,1,低频消费,250.0,低消费水平,250.0,单均价值低,1076,碧欧泉柜
0016caca,2004.0,积分低等级,43,中年,1069,1,低频消费,2004.0,低消费水平,2004.0,单均价值一般,1069,朗姿柜
001772f3,2500.0,积分低等级,40,青年,220,1,低频消费,2500.0,低消费水平,2500.0,单均价值一般,220,ZUCZUG
001c0b66,1060.0,积分低等级,29,青年,981,2,低频消费,1060.0,低消费水平,530.0,单均价值一般,216,LANCOME
001e604d,20280.0,积分中等级,56,中年,1043,9,中频消费,20757.0,中等消费水平,2306.3333333333335,单均价值一般,240,Shu Uemura
001eb142,8435.0,积分低等级,45,中年,431,3,低频消费,8736.5,低消费水平,2912.1666666666665,单均价值一般,38,CARBANNIA（卡邦尼）
00210b7c,8214.0,积分低等级,39,青年,951,4,低频消费,8214.0,低消费水平,2053.5,单均价值一般,444,COACH 柜
0021aec2,3388.0,积分低等级,50,中年,1084,2,低频消费,3388.0,低消费水平,1694.0,单均价值一般,1084,和音柜
0023bd95,10782.0,积分中等级,38,青年,1071,2,低频消费,10782.0,中等消费水平,5391.0,单均价值高,1071,LAFEE柜
002a97ef,0.0,积分低等级,25,青年,970,1,低频消费,630.0,低消费水平,630.0,单均价值一般,970,乔治.阿玛尼(GIORGIO
002dba30,1799.0,积分低等级,30,青年,403,1,低频消费,1799.0,低消费水平,1799.0,单均价值一般,403,Dior
002e1f3a,10871.0,积分中等级,37,青年,79,2,低频消费,10871.0,中等消费水平,5435.5,单均价值高,79,BOBBI BROWN
0031dbe1,1390.0,积分低等级,39,青年,313,1,低频消费,1390.0,低消费水平,1390.0,单均价值一般,313,JUSLA
0033f21d,1568.0,积分低等级,40,青年,354,2,低频消费,3620.12,低消费水平,1810.06,单均价值一般,14,JUSLA
0037e46b,8795.0,积分低等级,42,中年,1062,6,低频消费,37975.0,中等消费水平,6329.166666666667,单均价值高,345,芭比波朗柜
00383d1b,25.0,积分低等级,68,老年,725,1,低频消费,25.0,低消费水平,25.0,单均价值低,725,欣欣
003af278,33940.0,积分中等级,37,青年,404,7,中频消费,35630.1,中等消费水平,5090.0142857142855,单均价值高,265,AutaSon
003b77a0,1945.0,积分低等级,57,中年,1044,3,低频消费,2431.0,低消费水平,810.3333333333334,单均价值一般,865,Dior
003e7007,5070.0,积分低等级,19,青年,335,3,低频消费,5070.0,低消费水平,1690.0,单均价值一般,284,LANCOME
003f9494,1220.0,积分低等级,27,青年,1071,1,低频消费,1220.0,低消费水平,1220.0,单均价值一般,1071,迪奥柜
004452c7,17375.0,积分中等级,27,青年,480,12,中频消费,24507.6,中等消费水平,2042.3,单均价值一般,99,COACH 柜
0045e58e,398.0,积分低等级,39,青年,120,1,低频消费,1989.0,低消费水平,1989.0,单均价值一般,120,六福柜
0047a1e2,1668.0,积分低等级,48,中年,886,2,低频消费,1668.0,低消费水平,834.0,单均价值一般,886,Dior
0049560d,29700.0,积分中等级,52,中年,987,11,中频消费,29700.0,中等消费水平,2700.0,单均价值一般,166,雅诗兰黛ESTEE LAUDER
004e1ab3,111047.8,积分高等级,58,中年,979,22,中频消费,130388.1,高消费水平,5926.731818181818,单均价值高,4,PORTS
004e6318,5049.0,积分低等级,47,中年,377,2,低频消费,5049.0,低消费水平,2524.5,单均价值一般,20,S.D.Spontini
005040c3,26286.0,积分中等级,48,中年,1079,6,低频消费,26415.0,中等消费水平,4402.5,单均价值高,193,朗姿柜
005094df,2760.0,积分低等级,46,中年,544,3,低频消费,2760.0,低消费水平,920.0,单均价值一般,381,ICICLE
0050ce91,1893.0,积分低等级,48,中年,1051,3,低频消费,2593.0,低消费水平,864.3333333333334,单均价值一般,378,Jurlique
0050d356,834.0,积分低等级,33,青年,3,1,低频消费,834.0,低消费水平,834.0,单均价值一般,3,Juicy Couture
0055007d,2142.0,积分低等级,34,青年,1018,1,低频消费,2142.0,低消费水平,2142.0,单均价值一般,1018,奥得臣(AutaSon)
005679cf,13815.0,积分中等级,24,青年,102,9,中频消费,16118.1,中等消费水平,1790.9,单均价值一般,2,pikolinos
0056d2ee,11685.0,积分中等级,61,中年,1025,2,低频消费,49761.0,中等消费水平,24880.5,单均价值高,24,YARLOKS（女鞋)
005bc75e,1129.0,积分低等级,23,青年,1039,2,低频消费,2605.0,低消费水平,1302.5,单均价值一般,1039,瑞士钟表柜
005d9547,400.0,积分低等级,36,青年,1005,1,低频消费,400.0,低消费水平,400.0,单均价值低,1005,迪奥柜
005e503c,740.0,积分低等级,30,青年,236,1,低频消费,740.0,低消费水平,740.0,单均价值一般,236,WHAT FOR柜
005e604a,3310.0,积分低等级,29,青年,374,6,低频消费,3310.0,低消费水平,551.6666666666666,单均价值一般,6,GUERLAIN
005eaef5,5600.0,积分低等级,48,中年,194,2,低频消费,5600.4,低消费水平,2800.2,单均价值一般,62,LA MER
0061c861,5880.0,积分低等级,28,青年,1098,2,低频消费,5880.0,低消费水平,2940.0,单均价值一般,863,雅诗兰黛柜
0069061d,26455.0,积分中等级,42,中年,1045,8,中频消费,26873.5,中等消费水平,3359.1875,单均价值一般,42,兰芝柜
0069a6eb,4908.0,积分低等级,26,青年,657,2,低频消费,4908.0,低消费水平,2454.0,单均价值一般,624,Dior
006aedad,452.0,积分低等级,47,中年,154,1,低频消费,452.0,低消费水平,452.0,单均价值低,154,BY selvage 柜
006bb861,68411.0,积分中等级,39,青年,1013,30,中频消费,81584.7,中等消费水平,2719.49,单均价值一般,1,VICUTU
006bfb32,28455.0,积分中等级,40,青年,1077,7,中频消费,70575.0,中等消费水平,10082.142857142857,单均价值高,205,欧舒丹柜
006e1248,62522.0,积分中等级,34,青年,622,33,高频消费,65327.8,中等消费水平,1979.6303030303031,单均价值一般,21,OHUI/后
006e450b,5289.0,积分低等级,32,青年,1076,8,中频消费,7638.0,低消费水平,954.75,单均价值一般,130,BIOTHERM
007102b6,760.0,积分低等级,40,青年,168,1,低频消费,760.0,低消费水平,760.0,单均价值一般,168,SATCHI皮具
0073c114,665.0,积分低等级,23,青年,371,2,低频消费,665.0,低消费水平,332.5,单均价值低,67,欧莱雅柜
00748c7c,1219.0,积分低等级,33,青年,504,1,低频消费,1219.0,低消费水平,1219.0,单均价值一般,504,Zippo
00762d37,2666.0,积分低等级,46,中年,1052,2,低频消费,4271.0,低消费水平,2135.5,单均价值一般,1007,雅诗兰黛柜
0079d67e,2887.0,积分低等级,39,青年,161,1,低频消费,2887.0,低消费水平,2887.0,单均价值一般,161,Juicy Couture
007b189e,3690.0,积分低等级,39,青年,648,1,低频消费,3690.0,低消费水平,3690.0,单均价值高,648,CANALI柜
