,
.Aqua Kana,/System/Library/Fonts/AquaKana.ttc
.Keyboard,/System/Library/Fonts/Keyboard.ttf
.New York,/System/Library/Fonts/NewYork.ttf
.SF Arabic,/System/Library/Fonts/SFArabic.ttf
.SF Compact,/System/Library/Fonts/SFCompact.ttf
.SF Compact Rounded,/System/Library/Fonts/SFCompactRounded.ttf
.SF NS Mono,/System/Library/Fonts/SFNSMonoItalic.ttf
.SF NS Rounded,/System/Library/Fonts/SFNSRounded.ttf
Academy Engraved LET,/System/Library/Fonts/Supplemental/Academy Engraved LET Fonts.ttf
Al Bayan,/System/Library/Fonts/Supplemental/AlBayan.ttc
Al Nile,/System/Library/Fonts/Supplemental/Al Nile.ttc
Al Tarikh,/System/Library/Fonts/Supplemental/Al Tarikh.ttc
American Typewriter,/System/Library/Fonts/Supplemental/AmericanTypewriter.ttc
Andale Mono,/System/Library/Fonts/Supplemental/Andale Mono.ttf
Apple Braille,/System/Library/Fonts/Apple Braille Pinpoint 8 Dot.ttf
Apple Chancery,/System/Library/Fonts/Supplemental/Apple Chancery.ttf
Apple SD Gothic Neo,/System/Library/Fonts/AppleSDGothicNeo.ttc
Apple Symbols,/System/Library/Fonts/Apple Symbols.ttf
AppleGothic,/System/Library/Fonts/Supplemental/AppleGothic.ttf
AppleMyungjo,/System/Library/Fonts/Supplemental/AppleMyungjo.ttf
Arial,/System/Library/Fonts/Supplemental/Arial Bold Italic.ttf
Arial Black,/System/Library/Fonts/Supplemental/Arial Black.ttf
Arial Hebrew,/System/Library/Fonts/ArialHB.ttc
Arial Narrow,/System/Library/Fonts/Supplemental/Arial Narrow Bold Italic.ttf
Arial Rounded MT Bold,/System/Library/Fonts/Supplemental/Arial Rounded Bold.ttf
Arial Unicode MS,/Library/Fonts/Arial Unicode.ttf
Athelas,/System/Library/Fonts/Supplemental/Athelas.ttc
Avenir,/System/Library/Fonts/Avenir.ttc
Avenir Next,/System/Library/Fonts/Avenir Next.ttc
Avenir Next Condensed,/System/Library/Fonts/Avenir Next Condensed.ttc
Ayuthaya,/System/Library/Fonts/Supplemental/Ayuthaya.ttf
Baghdad,/System/Library/Fonts/Supplemental/Baghdad.ttc
Bangla MN,/System/Library/Fonts/Supplemental/Bangla MN.ttc
Bangla Sangam MN,/System/Library/Fonts/Supplemental/Bangla Sangam MN.ttc
Baskerville,/System/Library/Fonts/Supplemental/Baskerville.ttc
Beirut,/System/Library/Fonts/Supplemental/Beirut.ttc
Big Caslon,/System/Library/Fonts/Supplemental/BigCaslon.ttf
Bodoni 72,/System/Library/Fonts/Supplemental/Bodoni 72.ttc
Bodoni 72 Oldstyle,/System/Library/Fonts/Supplemental/Bodoni 72 OS.ttc
Bodoni 72 Smallcaps,/System/Library/Fonts/Supplemental/Bodoni 72 Smallcaps Book.ttf
Bodoni Ornaments,/System/Library/Fonts/Supplemental/Bodoni Ornaments.ttf
Bradley Hand,/System/Library/Fonts/Supplemental/Bradley Hand Bold.ttf
Brush Script MT,/System/Library/Fonts/Supplemental/Brush Script.ttf
Chalkboard,/System/Library/Fonts/Supplemental/Chalkboard.ttc
Chalkboard SE,/System/Library/Fonts/Supplemental/ChalkboardSE.ttc
Chalkduster,/System/Library/Fonts/Supplemental/Chalkduster.ttf
Charter,/System/Library/Fonts/Supplemental/Charter.ttc
Cochin,/System/Library/Fonts/Supplemental/Cochin.ttc
Comic Sans MS,/System/Library/Fonts/Supplemental/Comic Sans MS.ttf
Copperplate,/System/Library/Fonts/Supplemental/Copperplate.ttc
Corsiva Hebrew,/System/Library/Fonts/Supplemental/Corsiva.ttc
Courier,/System/Library/Fonts/Courier.ttc
Courier New,/System/Library/Fonts/Supplemental/Courier New Bold Italic.ttf
DIN Alternate,/System/Library/Fonts/Supplemental/DIN Alternate Bold.ttf
DIN Condensed,/System/Library/Fonts/Supplemental/DIN Condensed Bold.ttf
Damascus,/System/Library/Fonts/Supplemental/Damascus.ttc
DecoType Naskh,/System/Library/Fonts/Supplemental/DecoTypeNaskh.ttc
