,KO
1961-02-28,0.103236
1961-03-30,0.012291
1961-04-28,-0.05
1961-05-31,0.087719
1961-06-30,-0.058065
1961-07-31,0.008621
1961-08-31,0.022792
1961-09-29,0.03454
1961-10-31,0.00542
1961-11-30,0.125067
1961-12-29,-0.00241
1962-01-31,-0.099034
1962-02-28,-0.016086
1962-03-30,0.041962
1962-04-30,-0.026316
1962-05-31,-0.091892
1962-06-29,-0.082143
1962-07-31,0.120915
1962-08-31,-0.007289
1962-09-28,-0.070778
1962-10-31,0.012739
1962-11-30,0.092453
1962-12-31,-0.011594
1963-01-31,0.058651
1963-02-28,-0.00277
1963-03-29,0.046389
1963-04-30,-0.010695
1963-05-31,0.005405
1963-06-28,0.015323
1963-07-31,0.018667
1963-08-30,0.070681
1963-09-30,0.004156
1963-10-31,0.014706
1963-11-29,0.019807
1963-12-31,0.102503
1964-01-31,0.021622
1964-02-28,0.003175
1964-03-31,0.067511
1964-04-30,0.005964
1964-05-28,0.009881
1964-06-30,0.034247
1964-07-31,0.050428
1964-08-31,-0.009058
1964-09-30,-0.007313
1964-10-30,-0.033333
1964-11-30,0.032567
1964-12-31,0.050373
1965-01-29,0.094139
1965-02-26,0.022727
1965-03-31,-0.062857
1965-04-30,0.074957
1965-05-28,-0.001585
1965-06-30,-0.018413
1965-07-30,0.001626
1965-08-31,0.019481
1965-09-30,0.005414
1965-10-29,-0.015924
1965-11-30,0.057282
1965-12-31,0.058462
1966-01-31,-0.002907
1966-02-28,-0.072886
1966-03-31,0.062579
1966-04-29,-0.071429
1966-05-31,0.016026
1966-06-30,-0.049211
1966-07-29,0.03005
1966-08-31,-0.027553
1966-09-30,-0.000333
1966-10-31,0.105705
1966-11-30,0.049772
1966-12-30,0.042151
1967-01-31,0.059972
1967-02-28,0.057895
1967-03-31,0.032587
1967-04-28,0.096852
1967-05-31,-0.004415
1967-06-30,0.097783
1967-07-31,0.035497
1967-08-31,-0.061704
1967-09-29,0.037787
1967-10-31,0.0
1967-11-30,0.119394
1967-12-29,-0.039855
1968-01-31,-0.049057
1968-02-29,0.011905
1968-03-29,0.051176
1968-04-30,0.097378
1968-05-31,0.006826
1968-06-28,0.000678
1968-07-30,-0.047619
1968-08-30,0.046429
1968-09-30,-0.018089
1968-10-31,-0.001745
1968-11-29,0.044406
1968-12-31,-0.038655
1969-01-31,0.003497
1969-02-28,-0.047038
1969-03-28,0.039561
1969-04-30,0.019435
1969-05-29,0.039861
1969-06-30,-0.068933
1969-07-31,-0.023381
1969-08-29,0.075506
1969-09-30,0.064452
1969-10-31,0.080775
1969-11-28,-0.063318
1969-12-31,0.054487
1970-01-30,-0.036474
1970-02-27,0.045741
1970-03-31,-0.02733
1970-04-30,-0.080997
1970-05-29,-0.035593
1970-06-30,-0.019543
1970-07-31,0.048649
1970-08-31,-0.013746
1970-09-30,0.043345
1970-10-30,0.057047
1970-11-30,0.068063
1970-12-31,0.01194
1971-01-29,0.026549
1971-02-26,0.001437
1971-03-31,0.086313
1971-04-30,0.019894
1971-05-28,0.046814
1971-06-30,0.023801
1971-07-30,-0.026797
1971-08-31,0.091364
1971-09-30,-0.000963
1971-10-29,0.004608
1971-11-30,-0.003257
1971-12-31,0.127021
