date        ibm      sp      ko
19610131 0.072513 0.063156 0.009331
19610228 0.0625 0.02687 0.103236
19610330 0.02963 0.025536 0.012291
19610428 0.027338 0.003843 -0.05
19610531 0.027521 0.019139 0.087719
19610630 -0.026612 -0.028846 -0.058065
19610731 0.024185 0.032797 0.008621
19610831 0.067967 0.019623 0.022792
19610929 0.035611 -0.019686 0.03454
19611031 0.092007 0.028323 0.00542
19611130 -0.011745 0.039347 0.125067
19611229 -0.001724 0.003225 -0.00241
19620131 -0.063903 -0.037876 -0.099034
19620228 -0.007841 0.01627 -0.016086
19620330 -0.007914 -0.00586 0.041962
19620430 -0.147818 -0.06197 -0.026316
19620531 -0.133811 -0.08599 -0.091892
19620629 -0.135669 -0.081838 -0.082143
19620731 0.140752 0.063562 0.120915
19620831 0.02584 0.015284 -0.007289
19620928 -0.107886 -0.048207 -0.070778
19621031 -0.021216 0.004443 0.012739
19621130 0.153902 0.101557 0.092453
19621231 -0.02133 0.013492 -0.011594
19630131 0.086538 0.049128 0.058651
19630228 -0.054277 -0.028852 -0.00277
19630329 0.053158 0.035464 0.046389
19630430 0.101544 0.04852 -0.010695
19630531 0.031267 0.014327 0.005405
19630628 -0.085909 -0.020198 0.015323
19630731 -0.004011 -0.00346 0.018667
19630830 0.025892 0.048749 0.070681
19630930 0.016301 -0.011034 0.004156
19631031 0.09292 0.032218 0.014706
19631129 -0.015182 -0.010539 0.019807
19631231 0.044822 0.024444 0.102503
19640131 0.069034 0.026926 0.021622
19640228 0.052122 0.009865 0.003175
19640331 0.044376 0.015167 0.067511
19640430 -0.040387 0.006077 0.005964
19640528 0.05491 0.011452 0.009881
19640630 -0.00625 0.016424 0.034247
19640731 -0.031447 0.01824 0.050428
19640831 -0.043831 -0.01623 -0.009058
19640930 -0.009081 0.028718 -0.007313
19641030 -0.037801 0.008078 -0.033333
19641130 -0.014881 -0.005185 0.032567
19641231 -0.007273 0.003909 0.050373
19650129 0.095238 0.033156 0.094139
19650226 0.019509 -0.001485 0.022727
19650331 -0.003291 -0.014526 -0.062857
19650430 0.067694 0.034239 0.074957
19650528 -0.01134 -0.007743 -0.001585
19650630 -0.041841 -0.048632 -0.018413
19650730 0.045852 0.013433 0.001626
19650831 0.044885 0.022522 0.019481
19650930 0.027054 0.032006 0.005414
19651029 0.04 0.027345 -0.015924
19651130 -0.012195 -0.008764 0.057282
19651231 -0.049524 0.008951 0.058462
19660131 -0.006012 0.004869 -0.002907
19660228 0.041331 -0.017873 -0.072886
19660331 0.001942 -0.021815 0.062579
19660429 0.080426 0.020509 -0.071429
19660531 -0.021031 -0.05414 0.016026
19660630 -0.02968 -0.016138 -0.049211
19660729 -0.027817 -0.013453 0.03005
19660831 -0.0562 -0.077751 -0.027553
19660930 -0.00936 -0.007004 -0.000333
19661031 0.045669 0.047544 0.105705
19661130 0.135843 0.003117 0.049772
19661230 -0.011968 -0.001492 0.042151
19670131 0.07537 0.078178 0.059972
19670228 0.079099 0.001963 0.057895
19670331 0.048837 0.03941 0.032587
19670428 0.100887 0.042239 0.096852
