detail_id,order_id,dishes_id,place_order_time
2956,417,610062,2016-08-01 11:05:36
2958,417,609957,2016-08-01 11:07:07
2961,417,609950,2016-08-01 11:07:40
2966,417,610038,2016-08-01 11:11:11
2968,417,610003,2016-08-01 11:11:30
1899,301,610019,2016-08-01 11:15:57
1902,301,609991,2016-08-01 11:19:12
1906,301,609983,2016-08-01 11:22:21
1907,301,609981,2016-08-01 11:22:53
1908,301,610030,2016-08-01 11:23:56
1910,301,610011,2016-08-01 11:31:15
2916,413,609966,2016-08-01 12:42:52
2919,413,609965,2016-08-01 12:43:21
2921,413,609936,2016-08-01 12:43:34
2923,413,609978,2016-08-01 12:44:08
2925,413,609983,2016-08-01 12:44:12
2927,413,610050,2016-08-01 12:45:09
2926,413,609984,2016-08-01 12:45:24
2928,413,610013,2016-08-01 12:46:26
2930,413,610032,2016-08-01 12:48:48
2932,413,609973,2016-08-01 12:49:27
2934,413,610007,2016-08-01 12:50:03
2938,415,609964,2016-08-01 12:51:38
2935,413,609992,2016-08-01 12:51:46
2936,413,610012,2016-08-01 12:52:18
2940,415,610064,2016-08-01 12:52:37
2937,413,610023,2016-08-01 12:53:39
2939,413,609931,2016-08-01 12:54:30
2643,392,609930,2016-08-01 12:58:44
2942,415,609959,2016-08-01 12:59:03
2652,392,609936,2016-08-01 12:59:16
2650,392,609935,2016-08-01 12:59:26
2943,415,609957,2016-08-01 12:59:48
2654,392,609937,2016-08-01 12:59:55
2649,392,609934,2016-08-01 12:59:56
2656,392,609938,2016-08-01 12:59:59
2657,392,609939,2016-08-01 13:00:13
2664,392,609943,2016-08-01 13:00:33
2667,392,609945,2016-08-01 13:00:42
2665,392,609944,2016-08-01 13:00:59
2946,415,610016,2016-08-01 13:01:27
2669,392,609946,2016-08-01 13:01:50
2675,392,609948,2016-08-01 13:02:06
2670,392,609947,2016-08-01 13:02:29
2948,415,609930,2016-08-01 13:02:41
2677,392,609949,2016-08-01 13:02:47
2680,392,609950,2016-08-01 13:03:59
2684,392,609952,2016-08-01 13:04:08
2682,392,609951,2016-08-01 13:04:50
2689,392,609954,2016-08-01 13:05:03
2693,392,609956,2016-08-01 13:05:13
2687,392,609953,2016-08-01 13:05:56
2695,392,609957,2016-08-01 13:06:10
2950,415,609955,2016-08-01 13:06:16
2729,392,609968,2016-08-01 13:06:17
2697,392,609958,2016-08-01 13:06:38
2952,415,610071,2016-08-01 13:07:10
2733,392,609989,2016-08-01 13:07:31
2951,415,610011,2016-08-01 13:07:35
2953,415,609945,2016-08-01 13:08:40
2535,381,609996,2016-08-01 13:13:30
2539,381,609994,2016-08-01 13:13:55
2542,381,610012,2016-08-01 13:15:02
2544,381,610047,2016-08-01 13:16:15
3059,429,609968,2016-08-01 13:17:37
3063,429,609962,2016-08-01 13:18:10
3065,429,609943,2016-08-01 13:18:45
3067,429,609952,2016-08-01 13:20:42
2546,381,609946,2016-08-01 13:21:25
2549,381,610052,2016-08-01 13:22:14
2551,381,610008,2016-08-01 13:23:09
3068,429,609948,2016-08-01 13:24:05
3069,429,609947,2016-08-01 13:24:10
3070,429,609971,2016-08-01 13:25:16
3074,429,610072,2016-08-01 13:26:39
3077,429,610056,2016-08-01 13:27:14
3078,429,610007,2016-08-01 13:29:41
3082,429,610044,2016-08-01 13:31:04
3080,429,610021,2016-08-01 13:31:11
3079,429,609939,2016-08-01 13:31:21
3081,429,610023,2016-08-01 13:31:38
3083,429,609950,2016-08-01 13:34:01
3116,433,609978,2016-08-01 13:38:27
3117,433,609955,2016-08-01 13:39:07
3118,433,609965,2016-08-01 13:41:12
3119,433,609989,2016-08-01 13:41:38
3120,433,609944,2016-08-01 13:44:31
3121,433,609990,2016-08-01 13:46:57
3122,433,609988,2016-08-01 13:48:15
3123,433,609942,2016-08-01 13:48:39
3124,433,610011,2016-08-01 13:49:06
3127,433,610028,2016-08-01 13:50:03
3126,433,610050,2016-08-01 13:50:15
4509,569,609963,2016-08-01 17:06:20
4513,569,609936,2016-08-01 17:16:31
4516,569,609932,2016-08-01 17:18:57
5453,655,609968,2016-08-01 17:32:27
5461,655,609957,2016-08-01 17:33:05
5468,655,609946,2016-08-01 17:33:32
5465,655,609953,2016-08-01 17:33:51
5470,655,610011,2016-08-01 17:35:40
5471,655,609958,2016-08-01 17:36:20
4586,577,609966,2016-08-01 17:37:07
5143,622,610043,2016-08-01 17:40:18
5142,622,609984,2016-08-01 17:40:48
4588,577,609931,2016-08-01 17:40:56
4593,577,609934,2016-08-01 17:41:23
5472,655,609960,2016-08-01 17:41:44
5144,622,610025,2016-08-01 17:43:29
5473,655,610010,2016-08-01 17:44:32
4597,577,609953,2016-08-01 17:44:35
5145,622,610010,2016-08-01 17:45:52
5149,622,610052,2016-08-01 17:46:09
5152,622,609949,2016-08-01 17:47:58
4600,577,609954,2016-08-01 17:48:44
4604,577,609946,2016-08-01 17:49:52
4609,577,610008,2016-08-01 17:50:27
5428,651,610039,2016-08-01 18:12:20
5430,651,609981,2016-08-01 18:13:24
5432,651,610031,2016-08-01 18:17:54
5437,651,610011,2016-08-01 18:19:24
5440,651,610018,2016-08-01 18:20:49
5875,694,609966,2016-08-01 18:27:12
5876,694,609969,2016-08-01 18:29:39
5877,694,609944,2016-08-01 18:30:21
5878,694,610019,2016-08-01 18:31:24
5879,694,610069,2016-08-01 18:31:49
5881,694,609999,2016-08-01 18:32:25
5880,694,609975,2016-08-01 18:32:46
5882,694,609965,2016-08-01 18:35:10
5883,694,609993,2016-08-01 18:36:19
5884,694,609950,2016-08-01 18:37:38
3461,462,609935,2016-08-01 18:45:27
3458,462,609965,2016-08-01 18:45:57
3462,462,609933,2016-08-01 18:46:24
3465,462,609939,2016-08-01 18:46:40
3470,462,609954,2016-08-01 18:47:30
3467,462,609953,2016-08-01 18:47:47
3481,462,610027,2016-08-01 18:48:06
3479,462,610028,2016-08-01 18:48:08
3484,462,610057,2016-08-01 18:48:15
3477,462,610004,2016-08-01 18:48:19
3483,462,610035,2016-08-01 18:48:51
3475,462,609998,2016-08-01 18:48:56
3486,462,610009,2016-08-01 18:49:16
3411,458,610063,2016-08-01 19:27:29
3413,458,609943,2016-08-01 19:28:12
3418,458,609954,2016-08-01 19:28:20
3416,458,610044,2016-08-01 19:28:45
3415,458,609942,2016-08-01 19:28:59
3422,458,610017,2016-08-01 19:29:13
3419,458,609951,2016-08-01 19:29:44
3423,458,609939,2016-08-01 19:29:47
3430,458,609983,2016-08-01 19:30:06
3428,458,609981,2016-08-01 19:30:15
3427,458,609982,2016-08-01 19:30:47
3433,458,610036,2016-08-01 19:30:52
3435,458,609964,2016-08-01 19:31:18
3441,458,610011,2016-08-01 19:31:45
3516,467,609970,2016-08-01 19:40:16
3520,467,610004,2016-08-01 19:42:25
3519,467,609994,2016-08-01 19:42:43
3525,467,610011,2016-08-01 19:44:53
4435,562,609966,2016-08-01 19:44:56
3528,467,609941,2016-08-01 19:45:22
3547,467,609958,2016-08-01 19:45:56
3537,467,609952,2016-08-01 19:45:58
3549,467,609999,2016-08-01 19:46:36
3568,467,610034,2016-08-01 19:47:08
3557,467,610013,2016-08-01 19:47:32
3570,467,610017,2016-08-01 19:47:58
3578,467,609947,2016-08-01 19:49:32
3574,467,610062,2016-08-01 19:49:48
3580,467,609948,2016-08-01 19:50:16
4438,562,609935,2016-08-01 19:50:44
4441,562,609994,2016-08-01 19:54:30
4447,562,609930,2016-08-01 19:56:38
4455,562,610011,2016-08-01 19:57:32
3715,486,609970,2016-08-01 20:31:37
3719,486,609990,2016-08-01 20:31:41
3713,486,609967,2016-08-01 20:31:49
3721,486,610012,2016-08-01 20:33:02
3720,486,610011,2016-08-01 20:33:27
3722,486,609989,2016-08-01 20:34:10
3726,486,610023,2016-08-01 20:34:22
3729,486,610039,2016-08-01 20:34:26
3723,486,610017,2016-08-01 20:34:38
3731,486,610025,2016-08-01 20:35:26
3735,486,609951,2016-08-01 20:35:58
3738,486,609958,2016-08-01 20:36:18
4027,517,609943,2016-08-01 21:11:44
4028,517,609970,2016-08-01 21:17:25
4029,517,610014,2016-08-01 21:18:58
4030,517,610030,2016-08-01 21:19:10
3356,452,609944,2016-08-01 21:19:16
3362,452,610010,2016-08-01 21:20:10
3363,452,610053,2016-08-01 21:20:59
3364,452,610047,2016-08-01 21:21:09
4032,517,609946,2016-08-01 21:21:15
4033,517,610011,2016-08-01 21:21:29
4031,517,610015,2016-08-01 21:21:58
3365,452,609930,2016-08-01 21:25:16
3378,452,609953,2016-08-01 21:29:43
3301,448,610008,2016-08-01 21:37:26
3300,448,609969,2016-08-01 21:37:47
3304,448,609950,2016-08-01 21:39:48
3309,448,609993,2016-08-01 21:40:39
3315,448,610025,2016-08-01 21:41:46
3321,448,610016,2016-08-01 21:43:43
3320,448,610014,2016-08-01 21:43:50
3327,448,609998,2016-08-01 21:45:44
3330,448,609988,2016-08-01 21:47:54
3332,448,609931,2016-08-01 21:48:35
3334,448,609974,2016-08-01 21:49:41
3336,448,609933,2016-08-01 21:50:59
3343,448,609942,2016-08-01 21:52:03
3341,448,609936,2016-08-01 21:52:14
1056,193,609981,2016-08-02 11:20:59
1057,193,610024,2016-08-02 11:24:02
857,166,609944,2016-08-02 11:24:15
856,166,609965,2016-08-02 11:24:27
866,166,610023,2016-08-02 11:24:47
874,166,609988,2016-08-02 11:25:15
1058,193,609991,2016-08-02 11:30:04
883,166,609971,2016-08-02 11:30:16
1059,193,610030,2016-08-02 11:30:48
1060,193,609949,2016-08-02 11:31:47
1063,193,610000,2016-08-02 11:32:08
1062,193,610053,2016-08-02 11:32:15
1064,193,610060,2016-08-02 11:33:34
2213,342,609941,2016-08-02 11:58:57
2214,342,610037,2016-08-02 12:05:02
2215,342,609975,2016-08-02 12:05:35
2216,342,610010,2016-08-02 12:10:24
1646,260,609965,2016-08-02 12:37:57
1647,260,609960,2016-08-02 12:38:14
1648,260,609983,2016-08-02 12:41:57
1649,260,610044,2016-08-02 12:45:59
1650,260,609948,2016-08-02 12:52:53
1654,260,610011,2016-08-02 12:53:11
2363,367,609970,2016-08-02 12:58:38
2364,367,609978,2016-08-02 12:59:05
2365,367,606106,2016-08-02 13:00:51
2366,367,609985,2016-08-02 13:01:04
2367,367,609951,2016-08-02 13:01:36
2368,367,609946,2016-08-02 13:05:05
2369,367,610036,2016-08-02 13:06:27
2370,367,610054,2016-08-02 13:10:43
2371,367,610053,2016-08-02 13:12:09
2376,368,606106,2016-08-02 13:13:51
2373,367,610001,2016-08-02 13:15:01
