,国内生产总值_当季值(亿元),第一产业增加值_当季值(亿元),第二产业增加值_当季值(亿元),第三产业增加值_当季值(亿元),农林牧渔业增加值_当季值(亿元),工业增加值_当季值(亿元),建筑业增加值_当季值(亿元),批发和零售业增加值_当季值(亿元),交通运输、仓储和邮政业增加值_当季值(亿元),住宿和餐饮业增加值_当季值(亿元),金融业增加值_当季值(亿元),房地产业增加值_当季值(亿元),其他行业增加值_当季值(亿元)
2000年第一季度,21329.9,1908.3,9548.0,9873.6,1947.5,8798.7,777.1,2100.9,1379.4,570.5,1235.9,933.7,3586.1
2000年第二季度,24043.4,3158.2,11127.5,9757.7,3209.7,9799.9,1359.0,2073.0,1571.7,536.5,1124.0,904.7,3464.9
2000年第三季度,25712.5,4140.6,11887.0,9684.9,4196.1,10503.1,1417.4,1943.2,1370.0,523.2,1170.4,1070.9,3518.2
2000年第四季度,29194.3,5510.2,13102.3,10581.7,5590.2,11158.0,1980.5,2041.5,1840.8,516.1,1306.0,1239.7,3521.5
2001年第一季度,24086.4,2015.3,10641.7,11429.4,2061.6,9838.3,834.2,2351.6,1604.1,638.6,1341.5,1074.4,4342.2
2001年第二季度,26726.6,3235.0,12312.9,11178.6,3297.0,10875.1,1472.7,2307.4,1764.6,599.6,1207.4,1015.1,4187.7
2001年第三季度,28333.3,4453.8,12790.3,11089.3,4524.0,11294.3,1532.2,2161.1,1521.2,588.0,1262.8,1215.2,4234.5
2001年第四季度,31716.8,5798.4,13915.8,12002.6,5897.5,11847.8,2106.3,2299.3,1981.4,574.0,1383.5,1410.4,4216.5
2002年第一季度,26295.0,2147.6,11320.0,12827.3,2206.3,10438.3,914.6,2576.3,1722.5,728.6,1431.9,1204.5,5072.0
2002年第二季度,29194.8,3385.8,13300.1,12508.9,3463.1,11716.5,1621.2,2515.9,1901.9,674.9,1289.2,1145.1,4867.0
2002年第三季度,31257.3,4731.2,14024.3,12501.8,4820.1,12378.8,1685.3,2360.8,1677.5,669.2,1338.2,1384.7,4942.8
2002年第四季度,34970.3,5925.6,15461.0,13583.8,6046.2,13242.7,2261.1,2542.3,2192.3,652.1,1487.3,1612.1,4934.2
2003年第一季度,29825.5,2222.5,13146.6,14456.4,2292.1,12128.2,1056.5,2817.6,1840.5,817.9,1585.9,1394.4,5892.3
2003年第二季度,32537.3,3447.2,15219.9,13870.2,3537.3,13398.9,1864.0,2784.1,1941.0,738.8,1404.9,1354.9,5513.3
2003年第三季度,35291.9,5046.1,16298.8,13946.9,5154.5,14304.3,2040.4,2752.5,1793.6,801.2,1458.6,1561.2,5425.6
2003年第四季度,39767.4,6254.4,18032.1,15480.9,6396.6,15532.3,2549.8,2815.3,2339.6,768.1,1585.3,1862.2,5918.1
2004年第一季度,34544.6,2615.6,15292.5,16636.6,2698.4,14094.0,1242.8,2969.0,2159.8,898.1,1760.7,1633.5,7088.4
2004年第二季度,38700.8,4250.5,18085.8,16364.5,4360.7,15966.2,2170.6,3128.2,2375.7,896.7,1512.2,1608.7,6681.7
2004年第三季度,41855.0,6358.6,19372.6,16123.8,6494.9,17020.1,2406.8,3083.5,2137.3,927.6,1568.7,1805.4,6410.7
2004年第四季度,46739.8,7679.7,21536.0,17524.1,7856.8,18696.5,2900.3,3273.1,2633.7,942.4,1745.2,2126.5,6565.3
2005年第一季度,40453.3,2884.0,18159.5,19409.8,2986.8,16766.7,1451.8,3339.2,2554.9,1048.4,1931.6,1997.2,8376.7
2005年第二季度,44793.1,4438.6,21425.8,18928.7,4571.0,18925.5,2568.9,3458.5,2867.6,1035.4,1677.8,1953.4,7734.9
2005年第三季度,48047.8,6527.7,22774.6,18745.5,6690.4,20073.7,2773.6,3446.2,2540.5,1052.5,1798.5,2106.7,7565.6
2005年第四季度,54024.8,7956.4,25724.5,20343.8,8168.0,22194.7,3606.1,3722.2,2705.7,1059.4,2061.7,2459.1,8047.9
2006年第一季度,47078.9,3012.7,21418.7,22647.4,3133.1,19735.3,1753.1,3939.7,2868.8,1178.2,2461.2,2423.0,9586.5
2006年第二季度,52673.3,4750.0,25575.4,22347.9,4907.4,22620.6,3036.7,4094.0,3161.8,1158.1,2265.0,2413.2,9016.6
2006年第三季度,56064.7,6937.7,26937.2,22189.8,7129.6,23721.3,3301.6,4087.4,2899.7,1212.2,2376.1,2501.6,8835.1
2006年第四季度,63621.6,8616.6,30430.5,24574.5,8866.2,26161.2,4358.7,4409.6,3256.0,1244.1,2849.3,3032.7,9443.8
2007年第一季度,57177.0,3486.4,25983.8,27706.8,3624.6,23904.0,2167.4,4864.4,3354.3,1322.3,3724.3,3011.0,11204.8
2007年第二季度,64809.6,5532.5,31126.9,28150.2,5711.0,27483.1,3745.1,5135.8,3814.9,1295.8,3683.1,3250.8,10689.9
2007年第三季度,69524.3,8387.6,32661.0,28475.7,8614.1,28742.6,4024.2,5185.5,3448.8,1366.5,3891.3,3442.9,10808.3
