价格,商品名称,评价数
30.9,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,5000000
30.9,德芙Dove香浓黑巧克力分享碗装 252g 代言人同款办可可脂公室零食婚庆喜糖(新旧包装随机发放),5000000
139.9,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日礼物员工福利 48粒礼盒装600g 金榜推荐,2000000
399,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
41.9,德芙 Dove分享碗装66%可可脂醇黑巧克力 252g 代言人同款糖果巧克力 休闲零食婚庆喜糖,5000000
258,歌帝梵GODIVA比利时进口夹心巧克力金装15枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
53.9,德芙(Dove)牛奶巧克力桶装480g 代言人同款 办公室零食生日礼物休闲零食礼品,200000
48.53,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日团聚送礼 15粒礼盒装187.5g,500000
45,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 员工福利节日礼物 16粒礼盒装200g,2000000
53.9,德芙(Dove)黑巧克力桶装480g 代言人同款 办公室零食生日礼物礼品,200000
49.9,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,200000
49.9,德芙（Dove） 丝滑牛奶巧克力224gx2盒排块原装办公休闲零食生日礼物送女孩男孩万圣节糖果礼物 丝滑牛奶14g×16（2盒装）,10000
88,费列罗(FERRERO)榛果威化黑巧巧克力 婚庆喜糖零食伴手礼 节日礼物 15粒礼盒装分享装187.5g,5000
81,歌帝梵(GODIVA)醇享系列90%可可黑巧克力制品 80g 进口黑巧克力糖果 纯可可脂制作 办公室加班零食,20000
48.9,德芙（Dove）丝滑牛奶巧克力4.5g 代言人同款 婚庆喜糖节日礼物 500g,200000
99.9,费列罗(FERRERO)榛果威化糖果巧克力制品 员工福利婚庆喜糖零食伴手礼 团聚节日礼物 30粒375g,2000000
17.5,德芙(Dove)牛奶巧克力小碗装112g办公室零食休闲零食礼品礼物,200000
399,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,20000
31.9,德芙(Dove)黑巧克力碗装234g办公室零休闲零食生日礼物婚庆喜糖,200000
132.9,费列罗(FERRERO)榛果威化糖果巧克力制品 节日礼物 婚庆喜糖伴手礼员工福利 零食 27粒心形礼盒装337.5g,500000
68,费列罗（FERRERO） 巧克力礼盒装万圣节糖果生日礼物女生情人节礼物送女友榛果婚庆喜糖225g 费列罗18粒金色,50000
30.9,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,5000000
17.5,德芙(Dove)黑巧克力小碗装112g办公室零食生日礼物休闲零食礼品,200000
45,明治（Meiji）澳洲坚果夹心巧克力混合装 125g,20000
9.91,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日送礼亲友团聚休闲食品  3粒装37.5g,2000000
