地区,农业总产值,农业劳动力,灌溉面积,化肥用量,户均固定资产,农机动力
北京,19.61,90.1,33.84,7.5,394.3,435.3
天津,14.4,95.2,34.95,3.9,567.5,450.7
河北,149.9,1639,357.26,92.4,706.89,2712.6
山西,55.07,562.6,107.9,31.4,856.37,1118.5
内蒙古,60.85,462.9,96.49,15.4,1282.81,641.7
辽宁,87.48,588.9,72.4,61.6,844.74,1129.6
吉林,73.81,399.7,69.63,36.9,2576.81,647.6
黑龙江,104.51,425.3,67.95,25.8,1237.16,1305.8
山东,276.55,2365.6,456.55,152.3,5812.02,3127.9
河南,200.02,2557.5,318.99,127.9,754.78,2134.5
陕西,68.18,884.2,117.9,36.1,607.41,764
新疆,49.12,256.1,260.46,15.1,1143.67,523.3
