时间,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
土地成交额（亿元）,114.53,61.44,47.64,72.32,138.22,195.17,195.45,109.71,135.98,124.7,255.77
土地均价（亿元）,1564.6,1741.9,1771.1,1868,1932.3,2832,2723,2573,2774,6171,7803
施工面积（万㎡）,3195.41,3798.3,4487.38,5068.42,5961.06,6862.97,8545.13,10238.43,11062.52,11803.1,11912.98
竣工面积（万㎡）,933.37,869.83,945.05,919.4,1064.06,1052.13,679.31,765.42,804.58,813.17,776.29
销售面积（万㎡）,,732.07,1086.99,1207.97,1232.51,1052.13,1995.36,2273.16,2627.19,3255.66,4148.65
固定资产投资（亿元）,1277.71,2847.57,3001.1,3753.17,4255.16,5031.25,6001.96,7002.85,7725.26,7093.17,7871.66
房地产建设总投资（亿元）,459.75,560.36,778.59,1017.4,1274.17,1574.86,1905.6,2353.62,2581.79,2517.43,2686.34
政策调节（％）,5.04,5.13,3.87,4.05,4.8,4.6,4.5,4.25,3.75,3.25,3.25
居民消费指数,104.1,105.7,99.4,103,105.2,102.8,102.4,101.9,101.4,102.4,101.9
建设贷款（亿元）,141.17,164.49,297.94,257.19,283.94,330.54,483.68,477.34,419.49,700.5,567.54
个人住房贷款额（亿元）,,,789.1,1013,1100.31,1129.23,1429.58,1740.5,2421.46,3999.64,6613.84
房价（元／平）,4685,5346,5472,6565,6878.23,6378,6851,7800,8812,10172,14855
人口（百万）,891,897,910,978.54,1002,1012,1022,1033.8,1060.77,1076.62,1089.29
GDP,3209.47,4115.51,4620.86,5565.93,6762.2,8003.82,9051.27,10069.48,10905.6,11912.61,13410.34
